Name,Deaths,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
United States of America,982322,296.772,2167,0.655,0
India,522116,37.834,373,0.027,54
Brazil,662414,311.637,758,0.357,263
France,141568,217.665,877,1.348,174
Germany,133921,161.027,104,0.125,12
The United Kingdom,173032,254.886,1070,1.576,43
Russian Federation,374563,256.665,1536,1.053,195
Republic of Korea,21873,42.663,1257,2.452,206
Italy,162264,272.066,928,1.556,166
Turkey,98645,116.962,131,0.155,17
Spain,103721,219.132,220,0.465,0
Viet Nam,42991,44.166,90,0.092,9
Argentina,128344,283.973,0,0,0
Netherlands,22197,127.513,50,0.287,18
Japan,29201,23.088,376,0.297,50
Iran (Islamic Republic of),140896,167.747,152,0.181,0
Colombia,139755,274.66,21,0.041,1
Indonesia,156015,57.039,195,0.071,0
Poland,115926,305.405,117,0.308,27
Mexico,324004,251.297,32,0.025,0
Australia,6893,27.031,200,0.784,51
Ukraine,108306,247.649,70,0.16,10
Malaysia,35470,109.59,89,0.275,5
Austria,19381,217.738,89,1,7
Thailand,27520,39.427,891,1.277,128
Israel,10658,123.135,8,0.092,0
Belgium,31319,271.809,127,1.102,4
Czechia,40058,374.586,81,0.757,8
Portugal,22148,215.115,141,1.369,17
South Africa,100276,169.075,138,0.233,65
Philippines,60056,54.805,124,0.113,66
Canada,38542,102.119,335,0.888,113
Switzerland,13132,151.734,5,0.058,0
Peru,212704,645.108,157,0.476,28
Chile,57325,299.877,158,0.827,42
Greece,28808,268.767,402,3.751,43
Denmark,6047,103.851,86,1.477,17
Romania,65403,338.37,106,0.548,19
Sweden,18689,180.962,5,0.048,0
Iraq,25201,62.654,9,0.022,0
Serbia,15945,230.196,32,0.462,5
Bangladesh,29127,17.686,3,0.002,0
Hungary,46048,471.343,183,1.873,24
Slovakia,19817,363.09,120,2.199,14
Jordan,14059,137.791,4,0.039,0
Georgia,16795,421.014,7,0.175,1
Pakistan,30368,13.748,6,0.003,0
Ireland,6993,140.862,61,1.229,12
Norway,2871,53.488,88,1.639,0
Kazakhstan,19013,101.258,0,0,0
Singapore,1322,22.597,13,0.222,3
Morocco,16064,43.521,3,0.008,0
Bulgaria,36838,529.93,74,1.065,11
Croatia,15765,388.476,50,1.232,8
Cuba,8522,75.239,3,0.026,0
Lebanon,10369,151.917,15,0.22,0
Lithuania,9046,323.755,40,1.432,5
Tunisia,28533,241.424,24,0.203,0
Slovenia,7508,358.23,2,0.095,0
Finland,3638,65.843,0,0,0
China,14742,1.002,248,0.017,37
Nepal,11951,41.017,0,0,0
Belarus,6917,73.201,28,0.296,3
Mongolia,2108,64.302,0,0,0
Bolivia (Plurinational State of),21906,187.664,5,0.043,0
United Arab Emirates,2302,23.275,0,0,0
Uruguay,7197,207.184,9,0.259,0
New Zealand,610,12.65,76,1.576,10
Ecuador,35543,201.456,22,0.125,0
Costa Rica,8383,164.562,26,0.51,0
Guatemala,17457,97.44,46,0.257,0
Latvia,5720,299.841,40,2.097,11
Azerbaijan,9707,95.738,2,0.02,1
Panama,8180,189.581,2,0.046,1
Saudi Arabia,9075,26.067,12,0.034,1
Sri Lanka,16497,77.041,2,0.009,0
"occupied Palestinian territory, including east Jerusalem",5657,110.891,1,0.02,0
Paraguay,18786,263.385,52,0.729,0
Kuwait,2555,59.828,0,0,0
Myanmar,19434,35.718,0,0,0
Dominican Republic,4376,40.34,1,0.009,0
Estonia,2531,190.447,23,1.731,3
Bahrain,1474,86.626,1,0.059,0
Venezuela (Bolivarian Republic of),5704,20.059,6,0.021,1
Republic of Moldova,11489,284.807,9,0.223,2
Egypt,24613,24.052,91,0.089,0
